checked_at,type,title,price,part_number,url
2026-08-01T12:36:53+09:00,imac,24インチiMac [整備済製品] 8コアCPUと8コアGPUを搭載したApple M4チップ - ブルー,210800,FWUF3J/A,https://www.apple.com/jp/shop/product/fwuf3j/a/24%E3%82%A4%E3%83%B3%E3%83%81iMac-%E6%95%B4%E5%82%99%E6%B8%88%E8%A3%BD%E5%93%81-8%E3%82%B3%E3%82%A2CPU%E3%81%A88%E3%82%B3%E3%82%A2GPU%E3%82%92%E6%90%AD%E8%BC%89%E3%81%97%E3%81%9FApple-M4%E3%83%81%E3%83%83%E3%83%97-%E3%83%96%E3%83%AB%E3%83%BC?fnode=d8d08b80c84e5188089998ddedf96b015078ecabf9551e7932901242f516a71b56251fa4e9a79aaf4a5bd8a0c5040f6bd993d37eabdc34c10cee412d87cf63f16d4fb7620c6bc47c926a2d49d0caf645
2026-08-01T12:36:53+09:00,macbook-air,13インチMacBook Air [整備済製品] 10コアCPUと10コアGPUを搭載したApple M4チップ - スターライト,222800,G1CW0J/A,https://www.apple.com/jp/shop/product/g1cw0j/a/13%E3%82%A4%E3%83%B3%E3%83%81MacBook-Air-%5B%E6%95%B4%E5%82%99%E6%B8%88%E8%A3%BD%E5%93%81%5D-10%E3%82%B3%E3%82%A2CPU%E3%81%A810%E3%82%B3%E3%82%A2GPU%E3%82%92%E6%90%AD%E8%BC%89%E3%81%97%E3%81%9FApple-M4%E3%83%81%E3%83%83%E3%83%97-%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%A9%E3%82%A4%E3%83%88?fnode=d8d08b80c84e5188089998ddedf96b015078ecabf9551e7932901242f516a71b56251fa4e9a79aaf4a5bd8a0c5040f6bd993d37eabdc34c10cee412d87cf63f16d4fb7620c6bc47c926a2d49d0caf645
2026-08-01T12:36:53+09:00,macbook-air,13インチMacBook Air [整備済製品] 10コアCPUと10コアGPUを搭載したApple M4チップ - スカイブルー,222800,G1H80J/A,https://www.apple.com/jp/shop/product/g1h80j/a/13%E3%82%A4%E3%83%B3%E3%83%81MacBook-Air-%5B%E6%95%B4%E5%82%99%E6%B8%88%E8%A3%BD%E5%93%81%5D-10%E3%82%B3%E3%82%A2CPU%E3%81%A810%E3%82%B3%E3%82%A2GPU%E3%82%92%E6%90%AD%E8%BC%89%E3%81%97%E3%81%9FApple-M4%E3%83%81%E3%83%83%E3%83%97-%E3%82%B9%E3%82%AB%E3%82%A4%E3%83%96%E3%83%AB%E3%83%BC?fnode=d8d08b80c84e5188089998ddedf96b015078ecabf9551e7932901242f516a71b56251fa4e9a79aaf4a5bd8a0c5040f6bd993d37eabdc34c10cee412d87cf63f16d4fb7620c6bc47c926a2d49d0caf645
2026-08-01T12:36:53+09:00,macbook-air,15インチMacBook Air [整備済製品] 10コアCPUと10コアGPUを搭載したApple M5チップ - シルバー,223800,FDV94J/A,https://www.apple.com/jp/shop/product/fdv94j/a?fnode=d8d08b80c84e5188089998ddedf96b015078ecabf9551e7932901242f516a71b56251fa4e9a79aaf4a5bd8a0c5040f6bd993d37eabdc34c10cee412d87cf63f16d4fb7620c6bc47c926a2d49d0caf645
2026-08-01T12:36:53+09:00,macbook-air,15インチMacBook Air [整備済製品] 10コアCPUと10コアGPUを搭載したApple M5チップ - スターライト,223800,FDVD4J/A,https://www.apple.com/jp/shop/product/fdvd4j/a?fnode=d8d08b80c84e5188089998ddedf96b015078ecabf9551e7932901242f516a71b56251fa4e9a79aaf4a5bd8a0c5040f6bd993d37eabdc34c10cee412d87cf63f16d4fb7620c6bc47c926a2d49d0caf645
2026-08-01T12:36:53+09:00,macbook-air,15インチMacBook Air [整備済製品] 10コアCPUと10コアGPUを搭載したApple M5チップ - ミッドナイト,223800,FDVH4J/A,https://www.apple.com/jp/shop/product/fdvh4j/a?fnode=d8d08b80c84e5188089998ddedf96b015078ecabf9551e7932901242f516a71b56251fa4e9a79aaf4a5bd8a0c5040f6bd993d37eabdc34c10cee412d87cf63f16d4fb7620c6bc47c926a2d49d0caf645
2026-08-01T12:36:53+09:00,macbook-air,15インチMacBook Air [整備済製品] 10コアCPUと10コアGPUを搭載したApple M5チップ - スカイブルー,223800,FDVQ4J/A,https://www.apple.com/jp/shop/product/fdvq4j/a?fnode=d8d08b80c84e5188089998ddedf96b015078ecabf9551e7932901242f516a71b56251fa4e9a79aaf4a5bd8a0c5040f6bd993d37eabdc34c10cee412d87cf63f16d4fb7620c6bc47c926a2d49d0caf645
2026-08-01T12:36:53+09:00,macbook-air,13インチMacBook Air [整備済製品] 10コアCPUと10コアGPUを搭載したApple M5チップ - シルバー,236800,FDH84J/A,https://www.apple.com/jp/shop/product/fdh84j/a?fnode=d8d08b80c84e5188089998ddedf96b015078ecabf9551e7932901242f516a71b56251fa4e9a79aaf4a5bd8a0c5040f6bd993d37eabdc34c10cee412d87cf63f16d4fb7620c6bc47c926a2d49d0caf645
2026-08-01T12:36:53+09:00,macbook-air,13インチMacBook Air [整備済製品] 10コアCPUと10コアGPUを搭載したApple M5チップ - スカイブルー,236800,FDHJ4J/A,https://www.apple.com/jp/shop/product/fdhj4j/a?fnode=d8d08b80c84e5188089998ddedf96b015078ecabf9551e7932901242f516a71b56251fa4e9a79aaf4a5bd8a0c5040f6bd993d37eabdc34c10cee412d87cf63f16d4fb7620c6bc47c926a2d49d0caf645
2026-08-01T12:36:53+09:00,macbook-pro,14インチMacBook Pro [整備済製品] 10コアCPUと10コアGPUを搭載したApple M5チップ - シルバー,244800,FDE44J/A,https://www.apple.com/jp/shop/product/fde44j/a/14%E3%82%A4%E3%83%B3%E3%83%81MacBook-Pro-%E6%95%B4%E5%82%99%E6%B8%88%E8%A3%BD%E5%93%81-10%E3%82%B3%E3%82%A2CPU%E3%81%A810%E3%82%B3%E3%82%A2GPU%E3%82%92%E6%90%AD%E8%BC%89%E3%81%97%E3%81%9FApple-M5%E3%83%81%E3%83%83%E3%83%97-%E3%82%B7%E3%83%AB%E3%83%90%E3%83%BC?fnode=d8d08b80c84e5188089998ddedf96b015078ecabf9551e7932901242f516a71b56251fa4e9a79aaf4a5bd8a0c5040f6bd993d37eabdc34c10cee412d87cf63f16d4fb7620c6bc47c926a2d49d0caf645
